,date,total_graph_motif1,total_graph_motif2,total_graph_motif3,total_graph_motif4,total_graph_motif5,software_industry_motif1,software_industry_motif2,software_industry_motif3,software_industry_motif4,software_industry_motif5,oil_industry_motif1,oil_industry_motif2,oil_industry_motif3,oil_industry_motif4,oil_industry_motif5,real_estate_industry_motif1,real_estate_industry_motif2,real_estate_industry_motif3,real_estate_industry_motif4,real_estate_industry_motif5
0,1999-06-30,365,42,3584,0,0,8,3,190,0,0,11,0,48,0,0,3,0,24,0,0
1,1999-09-30,424,64,7846,0,0,22,1,274,0,0,5,0,104,0,0,14,1,52,0,0
2,1999-12-31,281,2,7748,0,0,23,0,366,0,0,6,0,192,0,0,12,2,26,0,0
3,2000-03-31,482,3,12730,0,0,75,0,504,0,0,0,0,262,0,0,5,0,118,0,0
4,2000-06-30,340,26,11984,0,0,20,0,814,0,0,0,0,260,0,0,0,0,196,0,0
5,2000-09-30,185,4,9666,0,0,19,0,490,0,0,0,0,198,0,0,5,0,36,0,0
6,2000-12-31,345,14,11166,0,0,2,0,464,0,0,7,0,304,0,0,6,1,40,0,0
7,2001-03-31,188,1,20250,0,0,23,1,2186,0,0,2,0,364,0,0,6,0,88,0,0
8,2001-06-30,257,2,16318,0,0,17,0,1208,0,0,10,0,590,0,0,2,0,138,0,0
9,2001-09-30,243,0,19756,0,0,35,0,1584,0,0,0,0,472,0,0,0,0,122,0,0
10,2001-12-31,388,5,24156,0,0,76,2,1742,0,0,1,0,326,0,0,0,0,200,0,0
11,2002-03-31,254,0,24118,0,0,14,0,1348,0,0,0,0,340,0,0,7,0,252,0,0
12,2002-06-30,339,8,31922,0,0,11,2,3238,0,0,6,0,570,0,0,0,0,86,0,0
13,2002-09-30,228,0,34660,0,0,5,0,2050,0,0,5,0,570,0,0,2,0,320,0,0
14,2002-12-31,119,0,32952,0,0,10,0,1836,0,0,0,0,576,0,0,0,0,358,0,0
15,2003-03-31,160,0,32510,0,0,12,0,2086,0,0,0,0,644,0,0,1,0,340,0,0
16,2003-06-30,134,4,30140,0,0,3,0,2234,0,0,0,0,484,0,0,1,0,216,0,0
17,2003-09-30,291,0,34012,0,0,5,0,2734,0,0,0,0,1014,0,0,4,0,188,0,0
18,2003-12-31,184,55,31824,0,0,6,2,2692,0,0,0,0,490,0,0,0,0,244,0,0
19,2004-03-31,291,26,30790,0,0,9,0,1872,0,0,47,0,736,0,0,5,0,212,0,0
20,2004-06-30,261,12,37814,0,0,49,2,3410,0,0,0,0,584,0,0,0,0,508,0,0
21,2004-09-30,89,9,35880,0,0,0,0,3156,0,0,0,0,702,0,0,0,0,182,0,0
22,2004-12-31,177,3,31122,0,0,10,0,2384,0,0,6,0,970,0,0,3,0,174,0,0
23,2005-03-31,164,22,54144,0,0,5,0,3964,0,0,9,2,1656,0,0,2,0,440,0,0
24,2005-06-30,294,53,38318,0,0,9,0,2590,0,0,9,5,1284,0,0,3,1,400,0,0
25,2005-09-30,131,2,42200,0,0,5,0,3168,0,0,2,0,924,0,0,2,0,326,0,0
26,2005-12-31,356,9,43014,0,0,12,1,4050,0,0,31,3,1094,0,0,0,0,400,0,0
27,2006-03-31,190,0,53672,0,0,5,0,4776,0,0,9,0,1090,0,0,4,0,578,0,0
28,2006-06-30,280,2,43530,0,0,7,0,4110,0,0,19,0,1080,0,0,4,0,396,0,0
29,2006-09-30,418,0,42162,0,0,34,0,3030,0,0,0,0,1404,0,0,6,0,280,0,0
30,2006-12-31,374,2,42152,0,0,30,0,2202,0,0,2,0,1052,0,0,3,0,566,0,0
31,2007-03-31,354,0,44848,0,0,40,0,3872,0,0,4,0,1654,0,0,12,0,818,0,0
32,2007-06-30,457,2,73278,0,0,7,0,3966,0,0,13,0,1372,0,0,10,0,890,0,0
33,2007-09-30,633,1,80432,0,0,15,0,4412,0,0,3,0,1786,0,0,15,0,940,0,0
34,2007-12-31,537,0,57160,0,0,35,0,2854,0,0,3,0,1098,0,0,43,0,818,0,0
35,2008-03-31,731,2,65170,0,0,22,0,3948,0,0,17,2,1788,0,0,61,0,950,0,0
36,2008-06-30,645,8,75130,0,0,30,2,4370,0,0,27,0,2540,0,0,69,0,1106,0,0
37,2008-09-30,859,0,72164,0,0,13,0,4282,0,0,4,0,2194,0,0,81,0,1410,0,0
38,2008-12-31,885,111,78974,0,0,15,0,3564,0,0,72,21,2322,0,0,69,0,1738,0,0
39,2009-03-31,446,0,97724,0,0,4,0,5302,0,0,14,0,3444,0,0,56,0,1800,0,0
40,2009-06-30,594,1,77386,0,0,2,0,3884,0,0,40,0,2760,0,0,44,0,1450,0,0
41,2009-09-30,479,77,61176,0,0,52,16,3312,0,0,33,2,1448,0,0,54,13,1560,0,0
42,2009-12-31,462,56,58940,0,0,44,7,2642,0,0,79,3,2728,0,0,0,0,1336,0,0
43,2010-03-31,461,108,57134,0,0,29,18,2506,0,0,31,3,2074,0,0,0,0,1594,0,0
44,2010-06-30,480,90,78672,0,0,44,16,3846,0,0,15,3,3342,0,0,3,2,2084,0,0
45,2010-09-30,339,120,53788,0,0,20,12,3614,0,0,25,4,1684,0,0,10,4,700,0,0
46,2010-12-31,402,0,60434,0,0,42,0,3050,0,0,25,0,1882,0,0,2,0,1742,0,0
47,2011-03-31,461,112,52078,0,0,37,17,2220,0,0,52,16,1882,0,0,7,0,996,0,0
48,2011-06-30,563,117,45036,0,0,39,13,2286,0,0,29,7,1424,0,0,10,0,1070,0,0
49,2011-09-30,416,0,59470,0,0,38,0,3096,0,0,14,0,1646,0,0,10,0,1250,0,0
50,2011-12-31,428,1,48380,0,0,23,0,2106,0,0,10,0,1392,0,0,11,0,964,0,0
51,2012-03-31,531,0,40784,0,0,37,0,1794,0,0,52,0,1586,0,0,8,0,1078,0,0
52,2012-06-30,440,0,47074,0,0,21,0,2890,0,0,30,0,3298,0,0,0,0,1710,0,0
53,2012-09-30,452,2,42636,0,0,33,0,2056,0,0,10,0,2332,0,0,16,0,1510,0,0
54,2012-12-31,490,0,39508,0,0,22,0,2654,0,0,20,0,1790,0,0,19,0,1052,0,0
55,2013-03-31,731,1,56418,0,0,22,0,3230,0,0,28,0,1988,0,0,27,0,2170,0,0
56,2013-06-30,672,1,54586,0,0,44,0,2980,0,0,58,0,2084,0,0,20,0,2012,0,0
57,2013-09-30,623,0,52490,0,0,38,0,3306,0,0,37,0,2446,0,0,23,0,2132,0,0
58,2013-12-31,545,0,47240,0,0,12,0,2926,0,0,26,0,2502,0,0,26,0,1714,0,0
59,2014-03-31,745,0,44316,0,0,46,0,1934,0,0,14,0,1636,0,0,39,0,1462,0,0
60,2014-06-30,529,0,44250,0,0,26,0,2520,0,0,41,0,2338,0,0,23,0,1836,0,0
61,2014-09-30,510,0,41036,0,0,24,0,1942,0,0,3,0,1484,0,0,51,0,1882,0,0
62,2014-12-31,702,107,48118,0,0,43,7,2084,0,0,68,15,3102,0,0,34,4,1976,0,0
63,2015-03-31,1076,0,57068,0,0,72,0,2608,0,0,7,0,3696,0,0,85,0,1830,0,0
64,2015-06-30,925,1,58112,0,0,103,1,3092,0,0,35,0,2986,0,0,40,0,2156,0,0
65,2015-09-30,773,154,57574,0,0,50,1,2800,0,0,72,14,2950,0,0,35,8,1802,0,0
66,2015-12-31,1010,264,54910,0,0,87,14,2644,0,0,80,18,2654,0,0,40,14,2040,0,0
67,2016-03-31,1211,234,67806,0,0,41,11,2826,0,0,97,33,4114,0,0,53,8,1996,0,0
68,2016-06-30,1231,194,50780,0,0,68,11,2546,0,0,77,20,3402,0,0,65,12,1986,0,0
69,2016-09-30,1398,0,46588,0,0,104,0,2264,0,0,75,0,2830,0,0,35,0,1828,0,0
70,2016-12-31,1668,8,57296,0,0,72,3,2768,0,0,152,1,2564,0,0,52,0,2324,0,0
71,2017-03-31,1751,1,44998,0,0,77,0,2048,0,0,132,0,2830,0,0,35,0,2082,0,0
72,2017-06-30,1292,0,50008,0,0,92,0,2214,0,0,82,0,3308,0,0,55,0,1848,0,0
73,2017-09-30,1255,0,36348,0,0,104,0,1516,0,0,56,0,2820,0,0,29,0,1628,0,0
